time (s)	coil I (A)	last det (V)	int current (uC)
5488.735713	1.491149	0.026035	672.508057
5488.736641	1.904088	0.026035	2439.501953
5488.737547	1.856836	0.026035	4121.795410
5488.738438	1.799227	0.026035	5724.907227
5488.739380	1.739561	0.026035	7363.573242
5488.740297	1.684252	0.026035	8908.032227
5488.741219	1.631851	0.026035	10412.598633
5488.742129	1.581815	0.026035	11852.050781
5488.743086	1.532142	0.026035	13318.310547
5488.743992	1.485051	0.026035	14663.766602
5488.744884	1.441143	0.026035	15949.265625
5488.745828	1.397344	0.026035	17268.357422
5488.746748	1.355387	0.026035	18515.312500
5488.747666	1.315554	0.026035	19722.992187
5488.748561	1.277842	0.026035	20866.660156
5488.749530	0.557717	0.026035	21407.087891
5488.750430	0.090967	0.026035	21488.957031
5488.751320	0.090985	0.026035	21569.933594
5488.752253	0.091121	0.026035	21654.949219
5488.753161	0.091084	0.026035	21737.654297
5488.754060	0.091077	0.026035	21819.531250
5488.754945	0.091102	0.026035	21900.156250
5488.755906	0.091128	0.026035	21987.730469
5488.756806	0.091088	0.026035	22069.708984
5488.757700	0.091044	0.026035	22151.101562
5488.758636	0.091179	0.026035	22236.445312
5489.786321	1.464811	0.030515	648.911194
5489.787220	1.905102	0.030515	2361.598389
5489.788161	1.857744	0.030515	4109.735352
5489.789066	1.798839	0.030515	5737.684570
5489.789975	1.741432	0.030515	7320.645996
5489.790868	1.687628	0.030515	8827.698242
5489.791816	1.633407	0.030515	10376.167969
5489.792725	1.583313	0.030515	11815.399414
5489.793637	1.535552	0.030515	13215.822266
5489.794534	1.488369	0.030515	14550.889648
5489.795486	1.442329	0.030515	15923.987305
5489.796399	1.399248	0.030515	17201.500000
5489.797300	1.358042	0.030515	18425.095703
5489.798246	1.317638	0.030515	19671.582031
5489.799149	1.279750	0.030515	20827.195312
5489.800056	0.677197	0.030515	21441.414062
5489.800940	0.091794	0.030515	21522.560547
5489.801878	0.091179	0.030515	21608.085937
5489.802782	0.091223	0.030515	21690.550781
5489.803680	0.091121	0.030515	21772.376953
5489.804589	0.091091	0.030515	21855.179687
5489.805516	0.091208	0.030515	21939.730469
5489.806422	0.091146	0.030515	22022.308594
5489.807315	0.091124	0.030515	22103.681641
5489.808248	0.091165	0.030515	22188.738281
5489.809148	0.091139	0.030515	22270.763672
5490.831302	1.452675	0.025044	629.008057
5490.832257	1.903000	0.025044	2446.373535
5490.833174	1.855565	0.025044	4147.926758
5490.834094	1.796100	0.025044	5800.338379
5490.834997	1.739231	0.025044	7370.863770
5490.835941	1.682783	0.025044	8959.411133
5490.836852	1.630269	0.025044	10444.585937
